Date,Temperature,Humidity,Rainfall,Irrigation,Fertilizer,Yield,Waste_Rate
2024-01-01,26.1,65.4,6.9,132.4,18.6,78.96,8.52
2024-01-02,25.0,61.7,5.8,143.0,21.5,80.99,8.55
2024-01-03,26.7,65.7,6.8,151.2,19.6,81.58,8.13
2024-01-04,28.6,59.2,6.1,134.6,19.9,79.84,8.65
2024-01-05,25.2,67.2,6.4,142.7,20.2,79.2,8.13
2024-01-06,25.4,65.4,7.6,138.8,20.5,80.15,8.18
2024-01-07,29.1,64.6,8.6,144.5,19.8,82.87,8.1
2024-01-08,27.6,66.6,7.4,142.8,20.4,77.17,7.74
2024-01-09,25.3,68.5,5.8,139.9,23.2,80.52,8.54
2024-01-10,27.5,66.3,7.4,145.9,22.0,86.82,8.75
2024-01-11,25.6,57.6,8.1,152.8,21.7,81.69,8.62
2024-01-12,25.7,59.1,6.3,143.1,19.1,78.0,8.87
2024-01-13,27.3,60.9,6.8,148.0,18.2,81.27,8.64
2024-01-14,23.1,62.7,6.9,138.3,21.9,79.1,8.08
2024-01-15,23.6,64.0,6.1,140.3,21.8,80.96,8.82
2024-01-16,26.1,60.1,7.5,147.8,22.9,80.16,7.73
2024-01-17,25.3,62.7,6.7,153.2,18.8,80.96,7.97
2024-01-18,28.1,59.7,7.2,147.9,19.5,83.39,8.0
2024-01-19,25.8,60.0,5.9,144.9,16.7,77.72,9.02
2024-01-20,24.9,57.4,6.3,146.7,19.2,80.0,8.9
2024-01-21,30.8,58.7,7.5,140.8,22.0,87.5,8.79
2024-01-22,27.5,57.2,6.3,150.4,19.1,83.4,9.04
2024-01-23,28.2,58.2,8.4,152.1,21.3,81.93,7.99
2024-01-24,25.4,64.1,6.3,145.8,19.6,80.83,8.62
2024-01-25,27.2,58.0,6.9,146.0,20.6,82.0,8.41
2024-01-26,28.7,68.6,7.5,150.0,17.7,81.12,8.91
2024-01-27,26.3,62.0,5.2,146.8,20.2,80.37,8.47
2024-01-28,29.5,60.9,4.8,148.9,14.0,78.94,8.45
2024-01-29,27.6,57.6,5.0,160.1,19.6,84.8,8.85
2024-01-30,28.4,62.2,7.7,148.6,16.7,80.57,8.9
2024-01-31,27.9,58.2,5.9,148.4,22.4,81.32,8.21
